Action,Component Name,Parent Object,Type,Included By,Owned By
Remove,Pledge Payments,GiftTransaction,List View,User Selected,
Remove,Pledged Gifts,GiftCommitment,List View,User Selected,
Remove,Pledged Major Gifts,Opportunity,List View,User Selected,
Remove,Recurring Donors,DonorGiftSummary,List View,User Selected,
Remove,Recurring Outreach,OutreachSummary,List View,User Selected,
Remove,Soft Credits,GiftSoftCredit,List View,User Selected,
Remove,Solicitor Credits,GiftSoftCredit,List View,User Selected,
,To Be Acknowledged,GiftTransaction,List View,FQS_Home_Page_Default,
,To Be Stewarded,GiftTransaction,List View,FQS_Home_Page_Default,
Remove,Upgrades,GiftCmtChangeAttrLog,List View,User Selected,
,FQS_Account_External_Id_Match,Account,Matching Rule,FQS_Account_Person_Dupe,
,FQS_Account_Organization_Match,Account,Matching Rule,FQS_Account_Organization_Dupe,
,FQS_Contact_Individual_Match,Contact,Matching Rule,FQS_Contact_Dupe,
Remove,FQS Account Layout,Account,Page Layout,User Selected,
Remove,FQS Campaign Layout,Campaign,Page Layout,User Selected,
,FQS Campaign Template Layout,FQS Campaign Template,Page Layout,FQS Campaign Template,
,FQS Donor Tier Layout,FQS Donor Tier,Page Layout,FQS Donor Tier,
Remove,FQS Opportunity Layout,Opportunity,Page Layout,User Selected,
Remove,FQS Person Account Layout,Person Account,Page Layout,User Selected,
Remove,FQS_Campaign_Status,,Path Assistant,User Selected,
Remove,FQS_GiftCommitment_Status,,Path Assistant,User Selected,
Remove,FQS_GiftRefund_Status,,Path Assistant,User Selected,
Remove,FQS_GiftTransaction_Status,,Path Assistant,User Selected,
Remove,FQS_Bypass_Automation,,Permission Set,User Selected,
Remove,FQS_Campaign_Fields,,Permission Set,User Selected,
Remove,FQS_Custom_Fields,,Permission Set,User Selected,
Remove,FQS_Email_Template_Builder_Permission,,Permission Set,User Selected,
Remove,FQS_Naming_Opt_Out,,Permission Set,User Selected,
Remove,FQS_Person_Account_Fields,,Permission Set,User Selected,
Remove,FQS_Record_Type_Access,,Permission Set,User Selected,
,Fundraising,Campaign,Record Type,FQS_Campaign_Status | FQS_Custom_Fields | FQS_Record_Type_Access,
,Grant,Opportunity,Record Type,FQS_Record_Type_Access,
,Major Gift,Opportunity,Record Type,FQS_Record_Type_Access,
,Campaign Record Page Report – Level 1,,Report,FQS_Campaign_Record_Page,
,Campaign Record Page Report – Level 2,,Report,FQS_Campaign_Record_Page,
,Campaign Record Page Report – Level 3+,,Report,FQS_Campaign_Record_Page,
,Designation Record Page Report,,Report,FQS_GiftDesignation_Record_Page,
,FQS Campaign Performance By Depth,,Report,FQS Donor Tiers,
,FQS Major Annual Donors This Year,,Report,FQS Donor Tiers,
,FQS Major Commitments Active,,Report,FQS Donor Tiers,
,FQS Major Gifts This Year,,Report,FQS Donor Tiers,
,FQS Major Lifetime Donors,,Report,FQS Donor Tiers,
,FQS Mid to Major Upgrade Pipeline,,Report,FQS Donor Tiers,
,FQS Stewardship Pipeline,,Report,FQS Donor Tiers,
,FQS Donor Tier Reports,,Report Folder,FQS Major Gifts This Year | FQS Stewardship Pipeline | FQS Major Lifetime Donors | FQS Mid to Major Upgrade Pipeline | FQS Major Commitments Active | FQS Campaign Performance By Depth | FQS Major Annual Donors This Year,
,FQS Record Page Reports,,Report Folder,Designation Record Page Report | Campaign Record Page Report – Level 2 | Campaign Record Page Report – Level 3+ | Campaign Record Page Report – Level 1,
,Value_Matches_Expected,,UI Format Specification Set,FQS_GiftBatch_Record_Page,
